time_s,throttle_norm,rudder_norm,speed_mps,yaw_rate_rps,segment
0.079740,0.000000,0.000000,0.033616,0.001156,0
0.179740,0.000000,0.000000,0.044626,0.001531,0
0.279740,0.000000,0.000000,0.039851,0.001402,0
0.379740,0.000000,0.000000,0.024508,0.001036,0
0.479740,0.000000,0.000000,0.016813,0.000837,0
0.579740,0.000000,0.000000,0.014196,0.001278,0
0.679740,0.000000,0.000000,0.013011,0.001402,0
0.779740,0.000000,0.000000,0.012775,0.001219,0
0.879740,0.000000,0.000000,0.008765,0.001464,0
0.979740,0.000000,0.000000,0.003816,0.001077,0
1.079740,0.000000,0.000000,0.019153,0.001402,0
1.179740,0.000000,0.000000,0.039551,0.001148,0
1.279740,0.000000,0.000000,0.042814,0.001232,0
1.379740,0.000000,0.000000,0.034734,0.001429,0
1.479740,0.000000,0.000000,0.029312,0.001266,0
1.579740,0.000000,0.000000,0.024552,0.001267,0
1.679740,0.000000,0.000000,0.023395,0.001524,0
1.779740,0.000000,0.000000,0.023138,0.001749,0
1.879740,0.000000,0.000000,0.023877,-0.000188,0
1.979740,0.000000,0.000000,0.024863,0.001291,0
2.079740,0.000000,0.000000,0.023435,0.001748,0
2.179740,0.000000,0.000000,0.021404,0.000445,0
2.279740,0.000000,0.000000,0.034962,0.000899,0
2.379740,0.000000,0.000000,0.052397,0.001307,0
2.479740,0.000000,0.000000,0.042494,0.001641,0
2.579740,0.000000,0.000000,0.025802,0.001911,0
2.679740,0.000000,0.000000,0.019764,0.001525,0
2.779740,0.000000,0.000000,0.016380,0.000966,0
2.879740,0.000000,0.000000,0.014316,0.001248,0
2.979740,0.000000,0.000000,0.013125,0.001420,0
3.079740,0.000000,0.000000,0.023413,0.001360,0
3.179740,0.000000,0.000000,0.041328,0.001477,0
3.279740,0.000000,0.000000,0.044416,0.001105,0
3.379740,0.000000,0.000000,0.037684,0.001494,0
3.479740,0.000000,0.000000,0.034928,0.001213,0
3.579740,0.000000,0.000000,0.034809,0.001339,0
3.679740,0.000000,0.000000,0.027533,0.001389,0
3.779740,0.000000,0.000000,0.018478,0.001383,0
3.879740,0.000000,0.000000,0.015816,0.001481,0
3.979740,0.000000,0.000000,0.017396,0.001123,0
4.079740,0.097509,0.000000,0.012913,0.001280,0
4.179740,0.137499,0.000000,0.004396,0.001338,0
4.279740,0.134975,0.000000,0.002625,0.001033,0
4.379740,0.095014,0.000000,0.005327,0.001272,0
4.479740,0.000000,0.000000,0.006282,0.001173,0
4.579740,0.000048,0.000000,0.006080,0.001151,0
4.679740,0.097485,0.000000,0.005729,0.001097,0
4.779740,0.114996,0.000000,0.005279,0.001082,0
4.879740,0.094962,0.000000,0.015832,0.001324,0
4.979740,0.000021,0.000000,0.033679,0.001309,0
5.079740,0.087476,0.000000,0.031523,0.001140,0
5.179740,0.087500,0.000000,0.016074,0.001294,0
5.279740,0.099990,0.000000,0.016773,0.001438,0
5.379740,0.142455,0.000000,0.028222,0.001238,0
5.479740,0.157487,0.000000,0.026355,0.001059,0
5.579740,0.164992,0.000000,0.015608,0.001146,0
5.679740,0.165000,0.000000,0.011832,0.001178,0
5.779740,0.152504,0.000000,0.012694,0.001074,0
5.879740,0.110017,0.000000,0.017537,0.001063,0
5.979740,0.000088,0.000000,0.025025,0.001096,0
6.079740,0.000000,0.000000,0.023722,0.001357,0
6.179740,0.000000,0.000000,0.016566,0.001271,0
6.279740,0.000000,0.000000,0.030517,0.001357,0
6.379740,0.000000,0.000000,0.049752,0.001419,0
6.479740,0.000000,0.000000,0.063775,0.001140,0
6.579740,0.000000,0.000000,0.074335,0.001197,0
6.679740,0.000000,0.000000,0.078519,0.001339,0
6.779740,0.000000,0.000000,0.078468,0.001465,0
6.879740,0.000000,0.000000,0.064244,0.001357,0
6.979740,0.000000,0.000000,0.040608,0.000982,0
7.079740,0.000000,0.000000,0.028651,0.001196,0
7.179740,0.000000,0.000000,0.024491,0.001063,0
7.279740,0.000000,0.000000,0.029768,0.000874,0
7.379740,0.000000,0.000000,0.041344,0.001057,0
7.479740,0.000000,0.000000,0.034973,0.000984,0
7.579740,0.000000,0.000000,0.016669,0.001230,0
7.679740,0.000000,0.000000,0.013517,0.001178,0
7.779740,0.000000,0.000000,0.014164,0.000961,0
7.879740,0.000000,0.000000,0.018159,0.001173,0
7.979740,0.000000,0.000000,0.024381,0.001236,0
8.079740,0.000000,0.000000,0.026309,0.001194,0
8.179740,0.000000,0.000000,0.025374,0.001238,0
8.279740,0.000000,0.000000,0.026324,0.001273,0
8.379740,0.000000,0.000000,0.028531,0.001293,0
8.479740,0.000000,0.000000,0.029078,0.001238,0
8.579740,0.000000,0.000000,0.028524,0.001157,0
8.679740,0.000000,0.000000,0.030312,0.001436,0
8.779740,0.000000,0.000000,0.033660,0.001276,0
8.879740,0.000000,0.000000,0.031820,0.001069,0
8.979740,0.000000,0.000000,0.026519,0.001108,0
9.079740,0.000000,0.000000,0.024934,0.001332,0
9.179740,0.000000,0.000000,0.024281,0.001415,0
9.279740,0.000000,0.000000,0.035329,0.001434,0
9.379740,0.000000,0.000000,0.054146,0.001078,0
9.479740,0.000000,0.000000,0.048839,0.000921,0
9.579740,0.000000,0.000000,0.027492,0.001150,0
9.679740,0.000000,0.000000,0.019661,0.001276,0
9.779740,0.000000,0.000000,0.020804,0.000943,0
9.879740,0.000000,0.000000,0.020613,0.000916,0
9.979740,0.000000,0.000000,0.019535,0.000974,0
10.079740,0.000000,0.000000,0.023568,0.001106,0
10.179740,0.000000,0.000000,0.030999,0.001123,0
10.279740,0.000000,0.000000,0.030685,0.001236,0
10.379740,0.000000,0.000000,0.025212,0.001142,0
10.479740,0.000000,0.000000,0.021482,0.001295,0
10.579740,0.000000,0.000000,0.018914,0.001183,0
10.679740,0.000000,0.000000,0.019878,0.000930,0
10.779740,0.000000,0.000000,0.023191,0.001202,0
10.879740,0.000000,0.000000,0.022476,0.001087,0
