time_s,throttle_norm,rudder_norm,speed_mps,yaw_rate_rps
0.079698,0.000000,0.000000,0.079370,-0.035483
0.179698,0.000000,0.000000,0.091488,-0.036806
0.279698,0.000000,0.000000,0.098453,-0.024433
0.379698,0.000000,0.000000,0.101985,-0.019614
0.479698,0.000000,0.000000,0.094675,-0.031264
0.579698,0.000000,0.000000,0.084643,-0.034828
0.679698,0.000000,0.000000,0.074265,-0.021559
0.779698,0.000000,0.000000,0.063654,-0.012813
0.879698,0.000000,0.000000,0.065397,-0.022963
0.979698,0.000000,0.000000,0.075390,-0.029769
1.079698,0.000000,0.000000,0.081460,-0.013859
1.179698,0.000000,0.000000,0.084902,-0.002047
1.279698,0.000000,0.000000,0.079839,-0.014124
1.379698,0.000000,0.000000,0.069107,-0.022468
1.479698,0.000000,0.000000,0.069972,-0.011864
1.579698,0.000000,0.000000,0.078566,-0.005818
1.679698,0.000000,0.000000,0.085812,-0.012326
1.779698,0.000000,0.000000,0.092157,-0.015852
1.879698,0.000000,0.000000,0.098928,-0.013561
1.979698,0.000000,0.000000,0.105806,-0.011227
2.079698,0.000000,0.000000,0.092158,-0.010663
2.179698,0.000000,0.000000,0.064817,-0.013919
2.279698,0.000000,0.000000,0.057212,-0.019843
2.379698,0.000000,0.000000,0.062823,-0.020410
2.479698,0.000000,0.000000,0.075666,-0.012695
2.579698,0.000000,0.000000,0.093340,-0.010173
2.679698,0.000000,0.000000,0.102951,-0.018765
2.779698,0.000000,0.000000,0.107168,-0.022937
2.879698,0.000000,0.000000,0.102915,-0.015678
2.979698,0.000000,0.000000,0.093026,-0.013343
3.079698,0.000000,0.000000,0.087318,-0.021816
3.179698,0.000000,0.000000,0.084402,-0.025953
3.279698,0.000000,0.000000,0.084964,-0.018081
3.379698,0.000000,0.000000,0.086402,-0.015318
3.479698,0.000000,0.000000,0.075462,-0.025727
3.579698,0.000000,0.000000,0.056273,-0.031165
3.679698,0.000000,0.000000,0.052996,-0.021013
3.779698,0.000000,0.000000,0.060321,-0.014151
3.879698,0.000000,0.000000,0.061996,-0.024670
3.979698,0.000000,0.000000,0.059900,-0.036380
4.079698,0.000000,0.000000,0.061311,-0.026358
4.179698,0.000000,0.000000,0.065070,-0.014917
4.279698,0.000000,0.000000,0.076091,-0.022590
4.379698,0.000000,0.000000,0.091951,-0.037720
4.479698,0.000000,0.000000,0.086035,-0.034987
4.579698,0.000000,0.000000,0.065619,-0.023429
4.679698,0.000000,0.000000,0.059192,-0.026642
4.779698,0.000000,0.000000,0.062088,-0.038913
4.879698,0.000000,0.000000,0.069325,-0.039991
4.979698,0.000000,0.000000,0.079452,-0.031997
5.079698,0.000000,0.000000,0.079478,-0.029624
5.179698,0.000000,0.000000,0.064134,-0.035271
5.279698,0.000000,0.000000,0.054442,-0.041140
5.379698,0.000000,0.000000,0.048515,-0.042067
5.479698,0.000000,0.000000,0.061510,-0.040535
5.579698,0.000000,0.000000,0.087145,-0.042667
5.679698,0.000000,0.000000,0.083364,-0.045528
5.779698,0.000000,0.000000,0.059916,-0.044891
5.879698,0.000000,0.000000,0.055670,-0.044824
5.979698,0.000000,0.000000,0.056236,-0.047779
6.079698,0.000000,0.000000,0.061820,-0.048795
6.179698,0.000000,0.000000,0.070756,-0.046985
6.279698,0.000000,0.000000,0.077742,-0.048046
6.379698,0.000000,0.000000,0.083427,-0.056111
6.479698,0.000000,0.000000,0.087528,-0.060408
6.579698,0.000000,0.000000,0.090571,-0.050142
6.679698,0.000000,0.000000,0.075455,-0.041690
6.779698,0.000000,0.000000,0.048234,-0.047425
6.879698,0.000000,0.000000,0.051896,-0.057750
6.979698,0.000000,0.000000,0.076177,-0.053931
7.079698,0.000000,0.000000,0.068642,-0.042192
7.179698,0.000000,0.000000,0.039831,-0.043665
