time_s,throttle_norm,rudder_norm,speed_mps,yaw_rate_rps,segment,mode_num,gps_status,nsats,hdop
0.178908,0,-0.00500187,0.119822,0.0181238,0,1,3,16,0.62
0.278908,0,-0.005,0.12768,0.0339985,0,1,3,16,0.62
0.378908,0,-0.0075044,0.132949,0.0600249,0,1,3,16,0.62
0.478908,0,-0.0125,0.13755,0.075451,0,1,3,16,0.62
0.578908,0,-0.0124999,0.124944,0.0624479,0,1,3,16,0.62
0.678908,0,-0.00999497,0.112352,0.0294733,0,1,3,16,0.62
0.778908,0,-0.0025,0.107146,0.00661747,0,1,3,16,0.62
0.878908,0,-0.00250025,0.10194,0.017456,0,1,3,16,0.62
0.978908,0,-0.00500525,0.115609,0.0565813,0,1,3,16,0.62
1.07891,0,-0.0125013,0.133985,0.0882841,0,1,3,16,0.62
1.17891,0,-0.0149986,0.118022,0.0765138,0,1,3,16,0.62
1.27891,0,-0.0125001,0.0935603,0.0303178,0,1,3,16,0.62
1.37891,3.67427e-05,-0.0650252,0.0962006,0.00135248,0,1,3,16,0.62
1.47891,0.0875049,-0.125022,0.0988662,0.017237,0,1,3,16,0.62
1.57891,0.110004,-0.225016,0.125977,0.057427,0,1,3,16,0.62
1.67891,0.150008,-0.402523,0.153088,0.0826801,0,1,3,16,0.62
1.77891,0.189988,-0.524962,0.119427,0.0666796,0,1,3,16,0.62
1.87891,0.20999,-0.549988,0.0706669,0.0346074,0,1,3,16,0.62
1.97891,0.252529,-0.625055,0.144516,0.0255595,0,1,3,16,0.62
2.07891,0.292502,-0.7,0.249029,0.0584232,0,1,3,16,0.62
2.17891,0.312499,-0.7025,0.399286,0.0853541,0,1,3,16,0.62
2.27891,0.289982,-0.780003,0.549543,0.0511107,0,1,3,16,0.62
2.37891,0.249986,-0.787498,0.762143,-0.0200864,0,1,3,17,0.62
2.47891,0.230003,-0.784997,0.990069,-0.0999123,0,1,3,17,0.62
2.57891,0.249995,-0.765002,1.06338,-0.165507,0,1,3,17,0.62
2.67891,0.214987,-0.777506,1.13659,-0.220693,0,1,3,17,0.58
2.77891,0.194997,-0.78751,1.15576,-0.296263,0,1,3,17,0.58
2.87891,0.1875,-0.8125,1.17493,-0.366332,0,1,3,17,0.58
2.97891,0.195,-0.8425,1.17053,-0.3965,0,1,3,17,0.58
3.07891,0.197498,-0.86748,1.16027,-0.411222,0,1,3,17,0.58
3.17891,0.175001,-0.932509,1.15657,-0.416901,0,1,3,17,0.58
3.27891,0.179999,-0.967503,1.1545,-0.449649,0,1,3,17,0.58
3.37891,0.172514,-1,1.11688,-0.484986,0,1,3,17,0.58
3.47891,0.187497,-1,1.07046,-0.493559,0,1,3,17,0.58
3.57891,0.182501,-1,1.07541,-0.482728,0,1,3,18,0.58
3.67891,0.184973,-1,1.09312,-0.483345,0,1,3,18,0.58
3.77891,0.15252,-1,1.1113,-0.514827,0,1,3,18,0.58
3.87891,0.180006,-1,1.1296,-0.542291,0,1,3,18,0.58
3.97891,0.187488,-1,1.0876,-0.568652,0,1,3,18,0.58
4.07891,0.162501,-1,1.03055,-0.5648,0,1,3,18,0.58
4.17891,0.172502,-1,1.00663,-0.536567,0,1,3,18,0.58
4.27891,0.174997,-1,0.990976,-0.536163,0,1,3,18,0.58
4.37891,0.169991,-1,0.974207,-0.48665,0,1,3,18,0.58
4.47891,0.16,-1,0.957164,-0.438174,0,1,3,18,0.58
4.57891,0.157501,-1,0.940544,-0.454907,0,1,3,18,0.58
4.67891,0.1775,-1,0.92403,-0.463592,0,1,3,18,0.58
4.77891,0.187496,-1,0.899335,-0.43201,0,1,3,18,0.58
4.87891,0.175001,-1,0.872608,-0.40213,0,1,3,18,0.58
4.97891,0.180008,-1,0.875059,-0.38998,0,1,3,18,0.58
5.07891,0.192499,-1,0.884777,-0.384199,0,1,3,18,0.58
5.17891,0.189972,-1,0.90559,-0.347845,0,1,3,18,0.58
5.27891,0.152507,-1,0.929164,-0.347022,0,1,3,18,0.58
5.37891,0.170009,-1,0.920324,-0.367653,0,1,3,18,0.58
5.47891,0.180001,-1,0.903441,-0.365677,0,1,3,18,0.58
5.57891,0.184995,-1,0.917053,-0.352219,0,1,3,18,0.58
5.67891,0.145019,-1,0.938274,-0.379567,0,1,3,18,0.58
5.77891,0.152514,-1,0.915768,-0.401323,0,1,3,18,0.58
5.87891,0.170003,-1,0.882416,-0.405759,0,1,3,18,0.58
5.97891,0.177499,-1,0.87953,-0.419566,0,1,3,18,0.58
6.07891,0.1775,-1,0.884221,-0.408989,0,1,3,18,0.58
