time_s,throttle_norm,rudder_norm,speed_mps,yaw_rate_rps,segment,mode_num,gps_status,nsats,hdop
0.079924,0,0,0.27556,-0.130421,0,0,3,17,0.62
0.179924,0,0,0.27983,-0.149289,0,0,3,17,0.62
0.279924,0,0,0.283401,-0.124435,0,0,3,17,0.62
0.379924,0,0,0.28591,-0.102815,0,0,3,17,0.62
0.479924,0,0,0.278283,-0.127978,0,0,3,17,0.62
0.579924,0,0,0.25538,-0.139416,0,0,3,17,0.62
0.679924,0,0,0.256787,-0.126,0,0,3,17,0.62
0.779924,0,0,0.294922,-0.11073,0,0,3,17,0.62
0.879924,0,0,0.30271,-0.12365,0,0,3,17,0.62
0.979924,0,0,0.264768,-0.130657,0,0,3,17,0.62
1.07992,0,0,0.241325,-0.0968823,0,0,3,17,0.62
1.17992,0,0,0.239771,-0.0823312,0,0,3,17,0.62
1.27992,0,0,0.242692,-0.113939,0,0,3,17,0.62
1.37992,0,0,0.252386,-0.126507,0,0,3,17,0.62
1.47992,0,0,0.247767,-0.123355,0,0,3,17,0.62
1.57992,0,0,0.221574,-0.116598,0,0,3,17,0.62
1.67992,0,0,0.213905,-0.111583,0,0,3,17,0.62
1.77992,0,0,0.23416,-0.110771,0,0,3,17,0.62
1.87992,0,0,0.244882,-0.107013,0,0,3,17,0.62
1.97992,0,0,0.241214,-0.116341,0,0,3,17,0.62
2.07992,0,0,0.234505,-0.130091,0,0,3,17,0.62
2.17992,0,0,0.223197,-0.112165,0,0,3,17,0.62
2.27992,0,0,0.227607,-0.087521,0,0,3,17,0.62
2.37992,0,0,0.255764,-0.101615,0,0,3,17,0.62
2.47992,0,0,0.256932,-0.138572,0,0,3,17,0.62
2.57992,0,0,0.240213,-0.129045,0,0,3,17,0.62
2.67992,0,0,0.226965,-0.0883605,0,0,3,17,0.62
2.77992,0,0,0.218961,-0.0841449,0,0,3,17,0.62
2.87992,0,0,0.216476,-0.133652,0,0,3,17,0.62
2.97992,0,0,0.222309,-0.130476,0,0,3,17,0.62
3.07992,0,0,0.227056,-0.079021,0,0,3,17,0.62
3.17992,0,0,0.230165,-0.0619967,0,0,3,17,0.62
3.27992,0,0,0.222439,-0.102763,0,0,3,17,0.62
3.37992,0,0,0.198382,-0.128026,0,0,3,17,0.62
3.47992,0,0,0.191945,-0.0831816,0,0,3,17,0.62
3.57992,0,0,0.212073,-0.0453125,0,0,3,17,0.62
3.67992,0,0,0.214537,-0.0731336,0,0,3,17,0.62
3.77992,0,0,0.190347,-0.119351,0,0,3,17,0.62
3.87992,0,0,0.194817,-0.105896,0,0,3,17,0.62
3.97992,0,0,0.218292,-0.0493948,0,0,3,17,0.62
4.07992,0,0,0.220154,-0.0423462,0,0,3,17,0.62
4.17992,0,0,0.189363,-0.0989067,0,0,3,17,0.62
4.27992,0,0,0.179135,-0.143241,0,0,3,17,0.62
4.37992,0,0,0.19997,-0.0935849,0,0,3,17,0.62
4.47992,0,0,0.207299,-0.0428922,0,0,3,17,0.62
4.57992,0,0,0.194281,-0.0587008,0,0,3,17,0.62
4.67992,0,0,0.197055,-0.104566,0,0,3,17,0.62
4.77992,0,0,0.223641,-0.101,0,0,3,17,0.62
4.87992,0,0,0.237893,-0.0833405,0,0,3,17,0.62
4.97992,0,0,0.201647,-0.0720539,0,0,3,17,0.62
5.07992,0,0,0.190705,-0.0586687,0,0,3,17,0.62
5.17992,0,0,0.217949,-0.0743424,0,0,3,17,0.62
5.27992,0,0,0.232777,-0.102374,0,0,3,17,0.62
5.37992,0,0,0.228867,-0.110151,0,0,3,17,0.62
5.47992,0,0,0.219575,-0.0709641,0,0,3,17,0.62
5.57992,0,0,0.202155,-0.0481905,0,0,3,17,0.62
5.67992,0,0,0.195323,-0.0729551,0,0,3,17,0.62
5.77992,0,0,0.204494,-0.10388,0,0,3,17,0.62
5.87992,0,0,0.21049,-0.104945,0,0,3,17,0.62
5.97992,0,0,0.21171,-0.0731941,0,0,3,17,0.62
6.07992,0,0,0.210663,-0.0507207,0,0,3,17,0.62
6.17992,0,0,0.20618,-0.0621225,0,0,3,17,0.62
6.27992,0,0,0.204413,-0.0851006,0,0,3,17,0.62
6.37992,0,0,0.206749,-0.0940146,0,0,3,17,0.62
6.47992,0,0,0.204468,-0.0648996,0,0,3,17,0.62
6.57992,0,0,0.195215,-0.0285545,0,0,3,17,0.62
6.67992,0,0,0.197327,-0.0286905,0,0,3,17,0.62
6.77992,0,0,0.216634,-0.062236,0,0,3,17,0.62
6.87992,0,0,0.217573,-0.0825051,0,0,3,17,0.62
6.97992,0,0,0.190679,-0.0571835,0,0,3,17,0.62
7.07992,0,0,0.172739,-0.0212093,0,0,3,17,0.62
7.17992,0,0,0.168349,-0.0199907,0,0,3,17,0.62
7.27992,0,0,0.179389,-0.0520261,0,0,3,17,0.62
7.37992,0,0,0.213811,-0.0803567,0,0,3,17,0.62
7.47992,0,0,0.222617,-0.0486667,0,0,3,17,0.62
7.57992,0,0,0.192634,0.00509531,0,0,3,17,0.62
7.67992,0,0,0.188595,0.00467251,0,0,3,17,0.62
7.77992,0,0,0.223919,-0.0246604,0,0,3,17,0.62
7.87992,0,0,0.233574,-0.0333106,0,0,3,17,0.62
7.97992,0,0,0.204435,-0.0334988,0,0,3,17,0.62
8.07992,0,0,0.182416,-0.0310449,0,0,3,17,0.62
8.17992,0,0,0.171151,-0.00525329,0,0,3,17,0.62
8.27992,0,0,0.160357,0.0238689,0,0,3,17,0.62
8.37992,0,0,0.150275,0.00737615,0,0,3,17,0.62
8.47992,0,0,0.15928,-0.0231925,0,0,3,17,0.62
8.57992,0,0,0.197204,-0.0180464,0,0,3,17,0.62
8.67992,0,0,0.223576,0.0192941,0,0,3,17,0.62
8.77992,0,0,0.232436,0.0318626,0,0,3,17,0.62
8.87992,0,0,0.230871,0.0081116,0,0,3,17,0.62
8.97992,0,0,0.2135,0.00358659,0,0,3,17,0.62
9.07992,0,0,0.196391,0.0162834,0,0,3,17,0.62
9.17992,0,0,0.179677,0.037501,0,0,3,17,0.62
9.27992,0,0,0.158685,0.0556226,0,0,3,17,0.62
9.37992,0,0,0.134848,0.0570713,0,0,3,17,0.62
9.47992,0,0,0.143269,0.038713,0,0,3,17,0.62
9.57992,0,0,0.200436,0.0199907,0,0,3,17,0.62
9.67992,0,0,0.224037,0.0391101,0,0,3,17,0.62
9.77992,0,0,0.196944,0.0782365,0,0,3,17,0.62
9.87992,0,0,0.186619,0.0792936,0,0,3,17,0.62
9.97992,0,0,0.201697,0.0481361,0,0,3,17,0.62
10.0799,0,0,0.209153,0.0370092,0,0,3,17,0.62
10.1799,0,0,0.205083,0.0504792,0,0,3,17,0.62
10.2799,0,0,0.197183,0.0669481,0,0,3,17,0.62
10.3799,0,0,0.183482,0.0673193,0,0,3,17,0.62
10.4799,0,0,0.171651,0.0624155,0,0,3,17,0.62
10.5799,0,0,0.162651,0.0774293,0,0,3,17,0.62
10.6799,0,0,0.160554,0.0788581,0,0,3,17,0.62
10.7799,0,0,0.163061,0.0557548,0,0,3,17,0.62
10.8799,0,0,0.165978,0.0568733,0,0,3,17,0.62
10.9799,0,0,0.17058,0.0959505,0,0,3,17,0.62
11.0799,0,0,0.178545,0.107497,0,0,3,17,0.62
11.1799,0,0,0.191596,0.0632294,0,0,3,17,0.62
11.2799,0,0,0.19284,0.0336831,0,0,3,17,0.62
11.3799,0,0,0.176244,0.0698129,0,0,3,17,0.62
11.4799,0,0,0.160368,0.117296,0,0,3,17,0.62
11.5799,0,0,0.145583,0.0973159,0,0,3,17,0.62
11.6799,0,0,0.171146,0.0537593,0,0,3,17,0.62
11.7799,0,0,0.257753,0.0445219,0,0,3,17,0.62
11.8799,0,0,0.271788,0.0677707,0,0,3,17,0.62
11.9799,0,0,0.175828,0.104723,0,0,3,17,0.62
12.0799,0,0,0.127781,0.11577,0,0,3,17,0.62
12.1799,0,0,0.152181,0.082249,0,0,3,17,0.62
12.2799,0,0,0.169922,0.0513491,0,0,3,17,0.62
12.3799,0,0,0.177567,0.0475959,0,0,3,17,0.62
12.4799,0,0,0.179567,0.0656486,0,0,3,17,0.62
12.5799,0,0,0.173037,0.08944,0,0,3,17,0.62
12.6799,0,0,0.173961,0.0797259,0,0,3,17,0.62
12.7799,0,0,0.186156,0.0497953,0,0,3,17,0.62
12.8799,0,0,0.182447,0.0300424,0,0,3,17,0.62
12.9799,0,0,0.15471,0.0445462,0,0,3,17,0.62
13.0799,0,0,0.13088,0.0894667,0,0,3,17,0.62
13.1799,0,0,0.112968,0.0996767,0,0,3,17,0.62
13.2799,0,0,0.124857,0.0623503,0,0,3,17,0.62
13.3799,0,0,0.181862,0.0277986,0,0,3,17,0.62
13.4799,0,0,0.204582,0.0394172,0,0,3,17,0.62
13.5799,0,0,0.175332,0.0887365,0,0,3,17,0.62
13.6799,0,0,0.145958,0.110439,0,0,3,17,0.62
13.7799,0,0,0.116396,0.0574948,0,0,3,17,0.62
13.8799,0,0,0.116829,0.00905763,0,0,3,17,0.62
13.9799,0,0,0.162631,0.0363653,0,0,3,17,0.62
14.0799,0,0,0.171849,0.110041,0,0,3,17,0.62
14.1799,0,0,0.125831,0.140372,0,0,3,17,0.62
14.2799,0,0,0.106806,0.0834392,0,0,3,17,0.62
14.3799,0,0,0.128613,0.0172801,0,0,3,17,0.62
