time_s,throttle_norm,rudder_norm,speed_mps,yaw_rate_rps,segment,mode_num,gps_status,nsats,hdop
0.180043,0,0,0.139211,0.0387102,0,0,3,15,0.68
0.280043,0,0,0.129324,0.0175588,0,0,3,15,0.68
0.380043,0,0,0.129794,0.0123319,0,0,3,15,0.68
0.480043,0,0,0.132849,0.0291704,0,0,3,15,0.68
0.580043,0,0,0.102082,0.024894,0,0,3,15,0.68
0.680043,0,0,0.0629513,0.00161508,0,0,3,15,0.68
0.780043,0,0,0.0814888,-0.0131619,0,0,3,15,0.68
0.880043,0,0,0.114335,0.00864974,0,0,3,15,0.68
0.980043,0,0,0.116764,0.0396063,0,0,3,15,0.68
1.08004,0,0,0.0990711,0.0234837,0,0,3,15,0.68
1.18004,0,0,0.0914961,-0.00493015,0,0,3,15,0.68
1.28004,0,0,0.0906224,-0.00242607,0,0,3,15,0.68
1.38004,0,0,0.109385,0.00687211,0,0,3,15,0.68
1.48004,0,0,0.133013,0.015352,0,0,3,15,0.68
1.58004,0,0,0.110417,0.0234604,0,0,3,15,0.68
1.68004,0,0,0.0572142,0.0211427,0,0,3,15,0.68
1.78004,0,0,0.0831828,0.00119526,0,0,3,15,0.68
1.88004,0,0,0.128773,-0.0214255,0,0,3,15,0.68
1.98004,0,0,0.128525,-0.00855405,0,0,3,15,0.68
2.08004,0,0,0.116892,0.0294355,0,0,3,15,0.68
2.18004,0,0,0.108328,0.0239453,0,0,3,15,0.68
2.28004,0,0,0.101796,-0.0160068,0,0,3,15,0.68
2.38004,0,0,0.114137,-0.0213866,0,0,3,15,0.68
2.48004,0,0,0.131156,0.00394222,0,0,3,15,0.68
2.58004,0,0,0.112859,0.015756,0,0,3,15,0.68
2.68004,0,0,0.085809,0.0103146,0,0,3,15,0.68
2.78004,0,0,0.0926048,0.0117827,0,0,3,15,0.68
2.88004,0,0,0.121834,0.0138457,0,0,3,15,0.68
2.98004,0,0,0.105392,-0.00959222,0,0,3,15,0.68
3.08004,0,0,0.0776281,-0.0197747,0,0,3,15,0.68
3.18004,0,0,0.0661397,0.0139288,0,0,3,15,0.68
3.28004,0,0,0.0654193,0.0316202,0,0,3,15,0.68
3.38004,0,0,0.0887363,0.0119903,0,0,3,15,0.68
3.48004,0,0,0.118006,-0.0127312,0,0,3,15,0.68
3.58004,0,0,0.114083,-0.0150512,0,0,3,15,0.68
3.68004,0,0,0.101885,0.000413803,0,0,3,15,0.68
3.78004,0,0,0.0989973,0.0113004,0,0,3,16,0.68
3.88004,0,0,0.0984156,0.0112133,0,0,3,16,0.68
3.98004,0,0,0.121642,0.0164642,0,0,3,16,0.64
4.08004,0,0,0.160667,0.00316389,0,0,3,16,0.64
4.18004,0,0,0.137463,-0.0243313,0,0,3,16,0.64
4.28004,0,0,0.0730798,-0.0279634,0,0,3,16,0.64
4.38004,0,0,0.0685824,-0.00687369,0,0,3,16,0.64
4.48004,0,0,0.078905,0.00623439,0,0,3,16,0.64
4.58004,0,0,0.0780724,-0.00243405,0,0,3,16,0.64
4.68004,0,0,0.0744724,-0.0190992,0,0,3,16,0.64
4.78004,0,0,0.0922496,-0.0244644,0,0,3,16,0.64
4.88004,0,0,0.115335,-0.0280902,0,0,3,16,0.64
4.98004,0,0,0.136257,-0.0356268,0,0,3,16,0.64
5.08004,0,0,0.156643,-0.0228873,0,0,3,16,0.64
5.18004,0,0,0.132665,0.000914843,0,0,3,16,0.64
5.28004,0,0,0.0792814,-0.0122114,0,0,3,16,0.64
5.38004,0,0,0.106466,-0.0481746,0,0,3,16,0.64
5.48004,0,0,0.153615,-0.0511296,0,0,3,16,0.64
5.58004,0,0,0.118901,-0.0248658,0,0,3,16,0.64
5.68004,0,0,0.0638851,-0.0168714,0,0,3,16,0.64
5.78004,0,0,0.0905349,-0.0373063,0,0,3,16,0.64
5.88004,0,0,0.137437,-0.051026,0,0,3,16,0.64
5.98004,0,0,0.128646,-0.0399439,0,0,3,16,0.64
6.08004,0.0899182,0,0.106093,-0.0243813,0,0,3,16,0.64
6.18004,0.0999921,0,0.0973716,-0.027441,0,0,3,16,0.64
6.28004,0.11997,0,0.097853,-0.0382173,0,0,3,16,0.64
6.38004,0.154975,0,0.119252,-0.0364779,0,0,3,16,0.64
6.48004,0.174982,0.0174844,0.145854,-0.0344208,0,0,3,16,0.64
6.58004,0.184995,0.0624766,0.150403,-0.0233857,0,0,3,16,0.64
6.68004,0.189994,0.112445,0.14946,-0.0186669,0,0,3,16,0.64
6.78004,0.199992,0.144974,0.17497,0.00474435,0,0,3,16,0.64
6.88004,0.202499,0.167487,0.207077,0.0185306,0,0,3,16,0.64
6.98004,0.217491,0.182491,0.288311,0.0125198,0,0,3,16,0.64
7.08004,0.227495,0.187498,0.381734,0.0144591,0,0,3,16,0.64
7.18004,0.222504,0.180007,0.461944,0.0387244,0,0,3,16,0.64
7.28004,0.220004,0.175009,0.538866,0.0695169,0,0,3,16,0.64
7.38004,0.22,0.167507,0.666435,0.0864501,0,0,3,16,0.64
7.48004,0.22,0.1675,0.806643,0.10237,0,0,3,16,0.64
7.58004,0.202521,0.147524,0.899371,0.125846,0,0,3,16,0.64
7.68004,0.185018,0.130018,0.980294,0.144086,0,0,3,16,0.64
7.78004,0.182501,0.127501,0.976438,0.168406,0,0,3,16,0.64
7.88004,0.22247,0.125002,0.951497,0.20517,0,0,3,16,0.64
7.98004,0.259979,0.120003,0.977763,0.213333,0,0,3,16,0.64
8.08004,0.267497,0.12,1.03801,0.202337,0,0,3,16,0.64
8.18004,0.269998,0.12,1.15182,0.209088,0,0,3,16,0.64
8.28004,0.265003,0.12,1.27897,0.202412,0,0,3,16,0.64
