time_s,throttle_norm,rudder_norm,speed_mps,yaw_rate_rps,segment,mode_num,gps_status,nsats,hdop
0.079856,0,0,0.204377,0.0127292,0,0,3,17,0.62
0.179856,0,0,0.167415,0.0365593,0,0,3,17,0.62
0.279856,0,0,0.139248,0.0352161,0,0,3,17,0.62
0.379856,0,0,0.14595,0.00283458,0,0,3,17,0.62
0.479856,0,0,0.153791,-0.0365746,0,0,3,17,0.62
0.579856,0,0,0.166281,-0.0324319,0,0,3,17,0.62
0.679856,0,0,0.169755,0.0329287,0,0,3,17,0.62
0.779856,0,0,0.136493,0.0888454,0,0,3,17,0.62
0.879856,0,0,0.11095,0.0596008,0,0,3,17,0.62
0.979856,0,0,0.116854,-0.00366456,0,0,3,17,0.62
1.07986,0,0,0.128258,-0.00782575,0,0,3,17,0.62
1.17986,0,0,0.16202,0.048317,0,0,3,17,0.62
1.27986,0,0,0.195646,0.078088,0,0,3,17,0.62
1.37986,0,0,0.133006,0.0626438,0,0,3,17,0.62
1.47986,0,0,0.0856375,0.0330754,0,0,3,17,0.62
1.57986,0,0,0.10034,0.0267093,0,0,3,17,0.62
1.67986,0,0,0.120191,0.0372826,0,0,3,17,0.62
1.77986,0,0,0.16104,0.0482546,0,0,3,17,0.62
1.87986,0,0,0.186108,0.0549483,0,0,3,17,0.62
1.97986,0,0,0.146968,0.0462421,0,0,3,17,0.62
2.07986,0,0,0.122725,0.0274062,0,1,3,17,0.62
2.17986,-0.136021,-0.00494622,0.159341,0.025746,0,1,3,17,0.62
2.27986,-0.142496,-0.00250182,0.1866,0.0292845,0,1,3,17,0.62
2.37986,-0.1425,-0.0025,0.175719,0.0352127,0,1,3,17,0.62
2.47986,-0.117513,-0.00749747,0.161166,0.0428439,0,1,3,17,0.62
2.57986,-0.00136871,-0.0075,0.131627,0.0306605,0,1,3,17,0.62
2.67986,0,-0.0075,0.111918,0.0186516,0,1,3,17,0.62
2.77986,0,-0.00255225,0.132237,0.0188675,0,1,3,17,0.62
2.87986,0,-0.0025,0.149433,0.0201911,0,1,3,17,0.62
2.97986,0,-2.62502e-05,0.153884,0.0229385,0,1,3,17,0.62
3.07986,0,-0.00249808,0.153594,0.0218853,0,1,3,17,0.62
3.17986,0,-0.0025,0.133984,0.00752674,0,1,3,17,0.62
3.27986,0,-0.0025,0.120241,-0.000370815,0,1,3,17,0.62
3.37986,0,-2.56622e-05,0.130509,0.00575911,0,1,3,17,0.62
3.47986,0,0,0.141135,0.0128852,0,1,3,17,0.62
3.57986,0,0,0.153218,0.00919899,0,1,3,17,0.62
3.67986,0,0,0.161807,-0.0109145,0,1,3,17,0.62
3.77986,0,0.00247175,0.156113,-0.0144387,0,1,3,17,0.62
3.87986,0,1.74371e-06,0.150462,0.00674317,0,1,3,17,0.62
3.97986,0,-0.00247484,0.144995,0.00985461,0,1,3,17,0.62
4.07986,0,-2.14497e-06,0.14329,-0.00934777,0,1,3,17,0.62
4.17986,0,0.0024718,0.156958,-0.0185073,0,1,3,17,0.62
4.27986,0.0924271,0.0025,0.164824,-0.00389228,0,1,3,17,0.62
4.37986,0.114761,2.65117e-05,0.149061,0.0102377,0,1,3,17,0.62
4.47986,0.154983,-0.00249894,0.138942,0.00487686,0,1,3,17,0.62
4.57986,0.194567,-2.70408e-05,0.151861,-0.0130037,0,1,3,17,0.62
4.67986,0.214983,0,0.171128,0.000328639,0,1,3,17,0.62
4.77986,0.257043,0,0.21629,0.0238763,0,1,3,17,0.62
4.87986,0.2575,-0.00249922,0.27929,0.0240331,0,1,3,17,0.62
4.97986,0.250082,-0.00497269,0.415239,0.0386291,0,1,3,17,0.62
5.07986,0.240006,-0.00999707,0.551189,0.0646362,0,1,3,17,0.62
5.17986,0.245,-0.0150009,0.687684,0.0913858,0,1,3,17,0.62
5.27986,0.245,-0.0174988,0.820719,0.102592,0,1,3,17,0.62
5.37986,0.252411,-0.0224406,0.939589,0.129098,0,1,3,17,0.62
5.47986,0.259989,-0.0249964,1.05069,0.139641,0,1,3,17,0.62
5.57986,0.269873,-0.025,1.12999,0.117081,0,1,3,17,0.62
5.67986,0.29496,-0.022504,1.20607,0.112595,0,1,3,17,0.62
5.77986,0.3197,-0.02497,1.26897,0.104288,0,1,3,17,0.62
5.87986,0.329987,-0.0225033,1.33501,0.0863638,0,1,3,17,0.62
5.97986,0.349752,-0.017562,1.41393,0.0708372,0,1,3,17,0.62
6.07986,0.367465,-0.015005,1.4946,0.0426077,0,1,3,17,0.62
6.17986,0.377382,-0.015,1.58239,0.0200279,0,1,3,17,0.62
6.27986,0.397479,-0.0100053,1.67557,0.00994666,0,1,3,17,0.62
6.37986,0.4148,-0.00752862,1.79086,-0.00277997,0,1,3,17,0.62
6.47986,0.422494,-0.00500207,1.89474,-0.00392969,0,1,3,17,0.62
6.57986,0.417565,-0.00746743,1.95198,0.0103446,0,1,3,17,0.62
6.67986,0.382546,-0.00999674,2.00509,0.0219385,0,1,3,17,0.62
6.77986,0.367682,-0.01,2.04118,0.029006,0,1,3,17,0.62
6.87986,0.347536,-0.0124955,2.0679,0.0473006,0,1,3,17,0.62
6.97986,0.342561,-0.0125,2.05616,0.0510018,0,1,3,17,0.62
7.07986,0.330018,-0.0125,2.04869,0.0745693,0,1,3,17,0.62
7.17986,0.295417,-0.0149702,2.05871,0.0815935,0,1,3,17,0.62
7.27986,0.295,-0.0199956,2.06868,0.0848049,0,1,3,17,0.62
7.37986,0.314983,-0.0224979,2.0043,0.0804117,0,1,3,17,0.62
7.47986,0.295027,0.0598887,1.95295,0.0967498,0,1,3,17,0.62
7.57986,0.290065,0.126626,1.95476,0.114066,0,1,3,17,0.62
7.67986,0.297485,0.159933,1.94789,0.186672,0,1,3,17,0.62
7.77986,0.312322,0.214348,1.90544,0.248492,0,1,3,17,0.62
7.87986,0.339967,0.269934,1.86912,0.28999,0,1,3,17,0.62
7.97986,0.35975,0.292219,1.85782,0.352436,0,1,3,17,0.62
8.07986,0.379983,0.302492,1.84516,0.378862,0,1,3,17,0.62
8.17986,0.377528,0.297556,1.82688,0.405277,0,1,3,17,0.62
8.27986,0.3775,0.295002,1.81349,0.384564,0,1,3,17,0.62
8.37986,0.397265,0.297471,1.82012,0.356084,0,1,3,17,0.62
8.47986,0.3975,0.302495,1.83192,0.335372,0,1,3,17,0.62
8.57986,0.3975,0.314836,1.86497,0.342102,0,1,3,17,0.62
8.67986,0.399996,0.344957,1.89553,0.357495,0,1,3,17,0.62
8.77986,0.4,0.391943,1.91585,0.380733,0,1,3,17,0.62
8.87986,0.402496,0.412469,1.93388,0.410538,0,1,3,17,0.62
8.97986,0.392624,0.444598,1.94257,0.451274,0,1,3,17,0.62
9.07986,0.394996,0.487437,1.95153,0.50683,0,1,3,17,0.62
9.17986,0.407359,0.556708,1.96162,0.565734,0,1,3,17,0.62
9.27986,0.414994,0.587476,1.97169,0.608839,0,1,3,17,0.62
9.37986,0.4225,0.602499,1.91982,0.66205,0,1,3,17,0.62
9.47986,0.4225,0.6025,1.88545,0.69017,0,1,3,17,0.62
9.57986,0.4225,0.619773,1.92267,0.690169,0,1,3,17,0.62
9.67986,0.4225,0.622498,1.9465,0.655306,0,1,3,17,0.62
9.77986,0.4225,0.6225,1.91543,0.645371,0,1,3,17,0.62
9.87986,0.4225,0.6225,1.89686,0.647816,0,1,3,17,0.62
9.97986,0.4225,0.617564,1.92939,0.645643,0,1,3,17,0.62
10.0799,0.4225,0.6175,1.95546,0.646562,0,1,3,17,0.62
10.1799,0.4225,0.61256,1.95495,0.652614,0,1,3,17,0.62
10.2799,0.4225,0.610003,1.95286,0.660874,0,1,3,17,0.62
10.3799,0.4225,0.600116,1.94428,0.653302,0,1,3,17,0.62
10.4799,0.4225,0.597504,1.94061,0.658159,0,1,3,17,0.62
10.5799,0.4225,0.592566,1.95689,0.659727,0,1,3,17,0.62
10.6799,0.4225,0.585011,1.96736,0.663345,0,1,3,17,0.62
10.7799,0.4225,0.582532,1.95383,0.679922,0,1,3,17,0.62
10.8799,0.4225,0.572512,1.94404,0.671978,0,1,3,17,0.62
10.9799,0.4225,0.567557,1.94958,0.655355,0,1,3,17,0.62
11.0799,0.4225,0.5675,1.96148,0.660014,0,1,3,17,0.62
11.1799,0.420029,0.557617,1.9996,0.662627,0,1,3,17,0.62
11.2799,0.417502,0.552504,2.03127,0.654799,0,1,3,17,0.62
11.3799,0.415029,0.550029,2.03661,0.648812,0,1,3,17,0.62
11.4799,0.412503,0.542509,2.04202,0.653183,0,1,3,17,0.62
11.5799,0.4125,0.535097,2.04771,0.666441,0,1,3,17,0.62
11.6799,0.422486,0.532504,2.05676,0.672321,0,1,3,17,0.62
11.7799,0.420031,0.530031,2.07968,0.650851,0,1,3,17,0.62
11.8799,0.42,0.527503,2.0976,0.630541,0,1,3,17,0.62
11.9799,0.41753,0.52503,2.09509,0.622567,0,1,3,17,0.62
12.0799,0.412507,0.517511,2.08461,0.615786,0,1,3,17,0.62
12.1799,0.414972,0.5175,2.0413,0.625467,0,1,3,17,0.62
12.2799,0.412504,0.515004,2.0141,0.634116,0,1,3,17,0.62
12.3799,0.4125,0.515,2.0528,0.642842,0,1,3,17,0.62
12.4799,0.414997,0.512503,2.08253,0.625982,0,1,3,16,0.62
12.5799,0.415,0.5125,2.07559,0.60125,0,1,3,16,0.62
12.6799,0.412502,0.505005,2.06865,0.587998,0,1,3,16,0.62
12.7799,0.414999,0.509997,2.05133,0.608738,0,1,3,16,0.62
12.8799,0.415,0.51,2.03383,0.640092,0,1,3,16,0.62
12.9799,0.419942,0.49023,2.01566,0.62659,0,1,3,16,0.62
13.0799,0.415006,0.345183,2.0112,0.604795,0,1,3,16,0.62
13.1799,0.41253,0.206694,2.06295,0.507557,0,1,3,16,0.62
13.2799,0.400014,-0.0597132,2.11471,0.304177,0,1,3,16,0.64
13.3799,0.367541,-0.0774781,2.18785,0.0336892,0,1,3,16,0.64
13.4799,0.347518,-0.0600161,2.264,-0.13927,0,1,3,16,0.64
13.5799,0.325299,-0.0427325,2.35249,-0.19168,0,1,3,16,0.64
13.6799,0.312521,-0.0400043,2.42592,-0.176287,0,1,3,16,0.64
13.7799,0.305094,-0.0375313,2.43745,-0.15302,0,1,3,16,0.64
13.8799,0.300008,-0.0375,2.44131,-0.124696,0,1,3,16,0.64
13.9799,0.297529,-0.0399714,2.41382,-0.102353,0,1,3,16,0.64
14.0799,0.295003,-0.04,2.38514,-0.086418,0,1,3,16,0.64
14.1799,0.302414,-0.0424712,2.35154,-0.0701286,0,1,3,16,0.64
14.2799,0.285013,-0.0375038,2.32827,-0.117198,0,1,3,16,0.64
14.3799,0.285,-0.0375,2.34731,-0.11822,0,1,3,16,0.64
14.4799,0.282502,-0.0350023,2.36066,-0.118146,0,1,3,16,0.64
14.5799,0.277561,-0.0325306,2.35079,-0.124292,0,1,3,16,0.64
14.6799,0.272508,-0.034996,2.33624,-0.102987,0,1,3,16,0.64
14.7799,0.292253,-0.035,2.30235,-0.118842,0,1,3,16,0.64
