time_s,throttle_norm,rudder_norm,speed_mps,yaw_rate_rps,segment,mode_num,gps_status,nsats,hdop
0.180029,0,0.015,0.109894,-0.0781771,0,1,3,18,0.6
0.280029,0,0.0149977,0.110812,-0.0638825,0,1,3,18,0.6
0.380029,0,0.0100004,0.105103,-0.0522193,0,1,3,18,0.6
0.480029,0,0.01,0.0894168,-0.0560682,0,1,3,18,0.6
0.580029,0,0.0100024,0.075153,-0.0732998,0,1,3,18,0.6
0.680029,0,0.0149995,0.0618307,-0.0797943,0,1,3,18,0.6
0.780029,0,0.0149994,0.070043,-0.0703165,0,1,3,18,0.6
0.880029,0,0.0100018,0.0925502,-0.0620506,0,1,3,18,0.6
0.980029,0,0.0100007,0.0803582,-0.0666592,0,1,3,18,0.6
1.08003,0,0.0124998,0.0451183,-0.070753,0,1,3,18,0.6
1.18003,0,0.0149988,0.0631315,-0.0744265,0,1,3,18,0.6
1.28003,0,0.015,0.116537,-0.0770119,0,1,3,18,0.6
1.38003,0,0.0124993,0.121352,-0.0656509,0,1,3,18,0.6
1.48003,0,0.01,0.0938389,-0.0527713,0,1,3,18,0.6
1.58003,0,0.0100001,0.0737326,-0.04814,0,1,3,18,0.6
1.68003,0,0.0124988,0.0585345,-0.052605,0,1,3,18,0.6
1.78003,0,0.01,0.0648417,-0.0665954,0,1,3,18,0.6
1.88003,0,0.0100008,0.0854315,-0.0841509,0,1,3,18,0.6
1.98003,0,0.0125019,0.0893389,-0.0792023,0,1,3,18,0.6
2.08003,0,0.0149988,0.0821677,-0.0640361,0,1,3,18,0.6
2.18003,0,0.0124998,0.0861576,-0.0578936,0,1,3,18,0.6
2.28003,0,0.0100001,0.0975439,-0.0624116,0,1,3,18,0.6
2.38003,0,0.0124998,0.0975137,-0.0764861,0,1,3,18,0.6
2.48003,0,0.0125,0.0802769,-0.0785716,0,1,3,18,0.6
2.58003,0,0.0125,0.075408,-0.0687377,0,1,3,18,0.6
2.68003,0,0.0125,0.0787294,-0.0628775,0,1,3,18,0.6
2.78003,0,0.0149995,0.0906136,-0.0610107,0,1,3,18,0.6
2.88003,0,0.0124987,0.108194,-0.05932,0,1,3,18,0.6
2.98003,0,0.0100019,0.118226,-0.0754972,0,1,3,17,0.6
3.08003,0,0.0125007,0.123248,-0.101393,0,1,3,17,0.6
3.18003,0,0.0199985,0.108352,-0.100202,0,1,3,17,0.6
3.28003,0,0.0199986,0.0802323,-0.0767218,0,1,3,17,0.6
3.38003,0,0.0149989,0.0874811,-0.0641491,0,1,3,17,0.62
3.48003,0,0.0125,0.118153,-0.077786,0,1,3,17,0.62
3.58003,0,0.0125,0.112193,-0.0925523,0,1,3,17,0.62
3.68003,0,0.0175,0.081938,-0.0929349,0,1,3,17,0.62
