time_s,throttle_norm,rudder_norm,measured_speed_mps,measured_yaw_rate_rps,recursive_speed_mps,recursive_yaw_rate_rps
7.979698,0.0,0.0,0.058981,-0.044498,0.120576814,0.0055675586
8.079698,0.0,0.0,0.068302,-0.048702,0.120615356,0.0057586497
8.179698,0.0,0.0,0.069581,-0.051708,0.12065014,0.005944041
8.279698,0.0,0.0,0.070295,-0.047719,0.12068025,0.0061281524
8.379698,0.0,0.0,0.070632,-0.044787,0.120704904,0.0063133193
8.479698,0.0,0.0,0.065459,-0.048798,0.12072443,0.006497938
8.579698,0.0,0.0,0.056597,-0.054596,0.120739944,0.0066788187
8.679698,0.0,0.0,0.047897,-0.053068,0.12075226,0.0068546534
8.779698,0.0,0.0,0.039238,-0.04696,0.12076142,0.0070269895
8.879698,0.0,0.0,0.036912,-0.048174,0.1207669,0.0071981824
8.979698,0.0,0.0,0.038803,-0.055902,0.120768465,0.0073689586
9.079698,0.0,0.0,0.052166,-0.060377,0.12076652,0.0075380397
9.179698,0.0,0.0,0.073199,-0.056373,0.12076172,0.00770381
9.279698,0.0,0.0,0.066698,-0.047406,0.12075446,0.007865999
9.379698,0.0,0.0,0.041851,-0.048733,0.12074466,0.008025718
9.479698,0.0,0.0,0.026631,-0.060891,0.120732136,0.008184141
9.579698,0.0,0.0,0.017835,-0.058883,0.12071689,0.008341357
9.679698,0.0,0.0,0.016981,-0.048491,0.12069921,0.008496519
9.779698,0.0,0.0,0.021419,-0.051018,0.12067946,0.008648885
9.879698,0.0,0.0,0.030562,-0.057444,0.120657854,0.008798554
9.979698,0.104807,0.0,0.04284,-0.057864,0.12063441,0.00894623
10.079698,0.137451,0.0,0.043494,-0.056532,0.12192927,0.012162621
10.179698,0.179937,0.0,0.041221,-0.058924,0.13478388,0.017725078
10.279698,0.199992,0.0,0.076145,-0.04159,0.1556779,0.024866385
10.379698,0.217479,0.0,0.135863,-0.046269,0.17879283,0.031481795
10.479698,0.2175,0.0,0.216275,-0.056064,0.20092966,0.03729654
10.579698,0.2175,0.0,0.310465,-0.049302,0.21951154,0.04346513
10.679698,0.212503,0.0,0.446894,-0.023522,0.23562999,0.050981052
10.779698,0.2125,0.0,0.611421,0.003695,0.25138322,0.0588381
10.879698,0.210002,0.0,0.663889,0.022405,0.26797333,0.06559084
10.979698,0.205008,0.0,0.641711,0.041816,0.2857875,0.070696235
11.079698,0.205,0.0,0.680541,0.063605,0.30284455,0.07476223
11.179698,0.205,0.0,0.812087,0.074185,0.3187165,0.07902468
11.279698,0.202503,0.0,0.91283,0.08101,0.33464855,0.08388992
11.379698,0.2025,0.0,0.99307,0.084909,0.35154665,0.08874862
11.479698,0.2025,0.0,1.0405,0.092826,0.36921814,0.09287511
11.579698,0.2025,0.0,1.079692,0.085103,0.38775858,0.096136004
11.679698,0.2025,0.0,1.110187,0.079894,0.40716556,0.098913096
11.779698,0.2025,0.0,1.134878,0.07917,0.4273585,0.10164905
11.879698,0.200001,0.0,1.157472,0.070434,0.44822666,0.10441536
11.979698,0.2,0.0,1.178671,0.056333,0.4695751,0.10680879
12.079698,0.2,0.0,1.226149,0.060629,0.4858378,0.10961137
12.179698,0.2,0.0,1.29115,0.03704,0.49811015,0.11253149
12.279698,0.195003,0.0,1.265566,0.038315,0.5090998,0.114832476
12.379698,0.195,0.0,1.179527,0.034984,0.5202895,0.11594061
12.479698,0.195,0.0,1.151194,0.023456,0.531048,0.116308704
12.579698,0.195,0.0,1.161295,0.037009,0.54161716,0.11640692
12.679698,0.195,0.0,1.175325,0.029705,0.55228305,0.11649188
12.779698,0.195,0.0,1.190343,0.047044,0.56322545,0.11650952
12.879698,0.195,0.0,1.223442,0.031395,0.5744282,0.11640994
12.979698,0.195,0.0,1.268577,0.039359,0.5857444,0.11601847
13.079698,0.195,0.0,1.266205,0.034792,0.59715515,0.115234
13.179698,0.192503,0.0,1.232101,0.032516,0.608461,0.11417129
13.279698,0.1925,0.0,1.225379,0.020619,0.6193426,0.11290905
13.379698,0.1925,0.0,1.236955,0.022971,0.6300302,0.11153722
13.479698,0.1925,0.0,1.241424,0.026641,0.6407441,0.11006134
13.579698,0.1925,0.0,1.241164,0.014359,0.65149206,0.10846061
13.679698,0.1925,0.0,1.204085,0.03163,0.6621815,0.106722884
13.779698,0.1925,0.0,1.142476,0.014021,0.67295223,0.10492009
13.879698,0.1925,0.0,1.160795,0.01929,0.6837223,0.103068076
13.979698,0.1925,0.0,1.23234,0.024522,0.6945513,0.10112992
14.079698,0.1925,0.0,1.236226,0.02391,0.7053534,0.09910678
14.179698,0.1925,0.0,1.223057,0.024138,0.7160636,0.09703118
14.279698,0.1925,0.0,1.223186,0.010225,0.72682506,0.094946414
14.379698,0.1925,0.0,1.232179,0.015084,0.7379435,0.09281661
14.479698,0.1925,0.0,1.211721,0.013066,0.7491636,0.09064925
14.579698,0.1925,0.0,1.171648,0.024605,0.7602256,0.08847504
14.679698,0.1925,0.0,1.182332,0.027078,0.7711219,0.08631414
14.779698,0.1925,0.0,1.226872,0.020563,0.78196687,0.08416929
14.879698,0.1925,0.0,1.215629,0.037477,0.79281825,0.082036465
14.979698,0.1925,0.0,1.167092,0.022417,0.80365217,0.07990979
15.079698,0.1925,0.0,1.166093,0.031112,0.81442994,0.07779069
15.179698,0.1925,0.0,1.196851,0.017611,0.82514095,0.07569123
15.279698,0.1925,0.0,1.220662,0.028765,0.83598435,0.073608056
15.379698,0.1925,0.0,1.239839,0.030583,0.846866,0.07155632
15.479698,0.1925,0.0,1.250363,0.036794,0.8576475,0.06955002
15.579698,0.1925,0.0,1.258706,0.034317,0.8683004,0.06759072
15.679698,0.1925,0.0,1.246782,0.023896,0.8788684,0.0656729
15.779698,0.1925,0.0,1.221385,0.016213,0.88937986,0.063793644
15.879698,0.1925,0.0,1.212723,0.023584,0.89982283,0.06195198
15.979698,0.1925,0.0,1.215212,0.017949,0.91017306,0.06014865
16.079698,0.1925,0.0,1.219198,0.016081,0.9204185,0.058386732
16.179698,0.1925,0.0,1.224184,0.031441,0.93055826,0.056669883
16.279698,0.1925,0.0,1.222737,0.010682,0.94059104,0.054999538
16.379698,0.1925,0.0,1.216992,0.026501,0.9505104,0.053374518
16.479698,0.1925,0.0,1.227722,0.017776,0.9603078,0.051793013
16.579698,0.1925,0.0,1.249436,0.030818,0.96997607,0.05025439
16.679698,0.1925,0.0,1.244723,0.012496,0.9795099,0.04875912
16.779698,0.1925,0.0,1.222414,0.02997,0.9889042,0.04730764
16.879698,0.1925,0.0,1.19406,0.028765,0.9981534,0.04589961
16.979698,0.1925,0.0,1.164188,0.043013,1.007252,0.044534102
17.079698,0.1925,0.0,1.167894,0.024005,1.0161949,0.04321018
17.179698,0.1925,0.0,1.193989,0.030077,1.0249778,0.041927148
17.279698,0.1925,0.0,1.212962,0.027596,1.0335965,0.04068445
17.379698,0.1925,0.0,1.227195,0.024706,1.0420474,0.039481465
17.479698,0.1925,0.0,1.224441,0.03277,1.050327,0.038317412
17.579698,0.1925,0.0,1.217412,0.023914,1.0584322,0.037191447
17.679698,0.1925,0.0,1.209244,0.033641,1.0663607,0.036102712
17.779698,0.1925,0.0,1.20079,0.033541,1.0741103,0.0350504
17.879698,0.1925,0.0,1.219979,0.04346,1.0816793,0.034033693
17.979698,0.1925,0.0,1.257602,0.025059,1.0890666,0.03305176
18.079698,0.1925,0.0,1.266044,0.02157,1.0962712,0.032103747
18.179698,0.1925,0.0,1.267127,0.023669,1.1032926,0.031188795
18.279698,0.1925,0.0,1.267265,0.025243,1.1101309,0.030306056
18.379698,0.1925,0.0,1.266772,0.020501,1.1167864,0.029454678
18.479698,0.1925,0.0,1.257322,0.018351,1.1232597,0.02863381
18.579698,0.1925,0.0,1.241913,0.02342,1.1295518,0.02784261
18.679698,0.1925,0.0,1.246779,0.009159,1.135664,0.027080232
18.779698,0.1925,0.0,1.265152,0.010726,1.141598,0.026345842
18.879698,0.1925,0.0,1.270202,0.010421,1.1473556,0.025638618
18.979698,0.1925,0.0,1.266382,0.024367,1.152939,0.024957737
19.079698,0.1925,0.0,1.262428,0.019087,1.1583503,0.024302403
19.179698,0.1925,0.0,1.258385,0.019995,1.1635925,0.023671823
19.279698,0.1925,0.0,1.233434,0.039433,1.168668,0.023065202
19.379698,0.1925,0.0,1.194567,0.023392,1.1735799,0.02248176
19.479698,0.1925,0.0,1.192013,0.019601,1.1783311,0.021920752
19.579698,0.1925,0.0,1.198566,0.023938,1.182925,0.021381427
19.679698,0.1925,0.0,1.202736,0.039686,1.1873647,0.020863067
19.779698,0.1925,0.0,1.205315,0.032525,1.1916537,0.020364955
19.879698,0.1925,0.0,1.223259,0.02232,1.1957954,0.019886395
19.979698,0.1925,0.0,1.245051,0.031893,1.1997935,0.019426698
20.079698,0.1925,0.0,1.236111,0.032226,1.2036514,0.018985208
20.179698,0.1925,0.0,1.206629,0.026745,1.2073728,0.018561266
20.279698,0.1925,0.0,1.209506,0.024184,1.2109611,0.018154247
20.379698,0.1925,0.0,1.233942,0.020627,1.2144202,0.017763544
20.479698,0.1925,0.0,1.224646,0.034024,1.2177536,0.017388556
20.579698,0.1925,0.0,1.192901,0.034022,1.220965,0.017028699
20.679698,0.1925,0.0,1.203808,0.034486,1.2240579,0.016683394
20.779698,0.1925,0.0,1.243183,0.029329,1.2270359,0.016352104
20.879698,0.1925,0.0,1.230265,0.025232,1.2299025,0.016034307
20.979698,0.1925,0.0,1.204222,0.030131,1.2326612,0.01572949
21.079698,0.1925,0.0,1.212083,0.018474,1.2353154,0.015437147
21.179698,0.1925,0.0,1.242645,0.02869,1.2378684,0.015156791
21.279698,0.1925,0.0,1.243523,0.019916,1.2403237,0.014887962
21.379698,0.1925,0.0,1.224634,0.022302,1.2426844,0.01463022
21.479698,0.1925,0.0,1.20544,0.024158,1.2449536,0.014383138
21.579698,0.1925,0.0,1.186042,0.028574,1.2471347,0.014146282
21.679698,0.1925,0.0,1.211428,0.034193,1.2492306,0.013919231
21.779698,0.1925,0.0,1.248082,0.035411,1.2512443,0.013701609
21.879698,0.1925,0.0,1.246157,0.028922,1.2531786,0.013493046
21.979698,0.1925,0.0,1.218541,0.031897,1.2550365,0.013293182
22.079698,0.1925,0.0,1.19927,0.034803,1.2568206,0.013101661
22.179698,0.1925,0.0,1.185576,0.030088,1.2585336,0.012918148
22.279698,0.1925,0.0,1.213647,0.032136,1.2601781,0.012742316
22.379698,0.1925,0.0,1.252205,0.023583,1.2617567,0.012573852
22.479698,0.1925,0.0,1.247484,0.017087,1.2632718,0.012412451
22.579698,0.1925,0.0,1.213916,0.013751,1.2647258,0.012257828
22.679698,0.1925,0.0,1.206521,0.016344,1.2661209,0.012109703
22.779698,0.1925,0.0,1.216603,0.007352,1.2674594,0.0119678145
22.879698,0.1925,0.0,1.229092,0.011009,1.2687435,0.011831909
22.979698,0.1925,0.0,1.242184,0.013697,1.2699753,0.011701739
23.079698,0.1925,0.0,1.229349,0.019954,1.2711568,0.0115770595
23.179698,0.1925,0.0,1.19924,0.027887,1.2722899,0.011457647
23.279698,0.1925,0.0,1.193194,0.01493,1.2733765,0.011343287
23.379698,0.1925,0.0,1.203174,0.013807,1.2744184,0.011233766
23.479698,0.1925,0.0,1.213811,0.012358,1.2754173,0.011128884
23.579698,0.1925,0.0,1.224886,0.009588,1.276375,0.011028441
23.679698,0.1925,0.0,1.227622,0.018282,1.2772932,0.010932262
23.779698,0.1925,0.0,1.228269,0.021287,1.2781733,0.0108401645
23.879698,0.1925,0.0,1.239593,0.025923,1.279017,0.010751969
23.979698,0.1925,0.0,1.25802,0.014733,1.2798256,0.010667518
24.079698,0.1925,0.0,1.245345,0.02014,1.2806005,0.01058665
24.179698,0.1925,0.0,1.211871,0.028812,1.2813432,0.010509229
24.279698,0.1925,0.0,1.20722,0.025684,1.2820549,0.010435104
24.379698,0.1925,0.0,1.221783,0.036079,1.2827369,0.0103641255
24.479698,0.1925,0.0,1.21276,0.025491,1.2833904,0.010296165
24.579698,0.1925,0.0,1.188031,0.02204,1.2840165,0.010231104
24.679698,0.1925,0.0,1.195429,0.011834,1.2846164,0.010168814
24.779698,0.1925,0.0,1.224195,0.015746,1.285191,0.010109183
24.879698,0.1925,0.0,1.22592,0.01245,1.2857417,0.010052092
24.979698,0.1925,0.0,1.209623,0.020149,1.2862692,0.009997439
25.079698,0.1925,0.0,1.18966,0.026398,1.2867745,0.009945112
25.179698,0.1925,0.0,1.168771,0.029075,1.2872585,0.009895022
25.279698,0.1925,0.0,1.174052,0.030477,1.2877221,0.009847063
25.379698,0.1925,0.0,1.196744,0.041386,1.2881662,0.009801158
25.479698,0.1925,0.0,1.197117,0.048766,1.2885915,0.009757212
25.579698,0.1925,0.0,1.182638,0.041774,1.2889988,0.009715142
25.679698,0.1925,0.0,1.17398,0.042883,1.2893889,0.009674875
25.779698,0.1925,0.0,1.169205,0.035024,1.2897624,0.009636327
25.879698,0.1925,0.0,1.183165,0.029712,1.2901201,0.009599424
25.979698,0.1925,0.0,1.209653,0.031901,1.2904629,0.009564096
26.079698,0.1925,0.0,1.213875,0.024624,1.290791,0.009530276
26.179698,0.1925,0.0,1.203191,0.031707,1.2911053,0.0094979005
26.279698,0.1925,0.0,1.211295,0.025594,1.2914062,0.009466909
26.379698,0.1925,0.0,1.224121,0.025821,1.2916943,0.009437249
26.479698,0.1925,0.0,1.223614,0.024538,1.2919701,0.009408862
26.579698,0.1925,0.0,1.214225,0.022436,1.2922343,0.009381691
26.679698,0.1925,0.0,1.220263,0.027675,1.2924873,0.009355671
26.779698,0.1925,0.0,1.236571,0.018917,1.2927295,0.009330772
26.879698,0.1925,0.0,1.232505,0.029325,1.2929614,0.009306936
26.979698,0.1925,0.0,1.214856,0.031107,1.2931833,0.009284124
27.079698,0.1925,0.0,1.203067,0.031841,1.2933959,0.009262286
27.179698,0.1925,0.0,1.192756,0.032894,1.2935994,0.0092413835
27.279698,0.1925,0.0,1.190674,0.029684,1.2937942,0.009221383
27.379698,0.1925,0.0,1.194081,0.04061,1.2939807,0.009202234
27.479698,0.1925,0.0,1.212963,0.036169,1.2941593,0.0091838995
27.579698,0.1925,0.0,1.242182,0.033038,1.2943302,0.009166346
27.679698,0.1925,0.0,1.231328,0.029713,1.2944939,0.009149551
27.779698,0.1925,0.0,1.210408,0.033448,1.2946506,0.009133487
27.879698,0.1925,0.0,1.211891,0.024972,1.2948005,0.009118108
27.979698,0.1925,0.0,1.22828,0.030743,1.2949442,0.009103385
28.079698,0.1925,0.0,1.219869,0.032879,1.2950816,0.009089292
28.179698,0.1925,0.0,1.194926,0.027608,1.2952132,0.0090757925
28.279698,0.1925,0.0,1.185652,0.031667,1.2953392,0.009062871
28.379698,0.194997,0.0,1.186818,0.026374,1.2954599,0.009050523
28.479698,0.195,0.0,1.19279,0.039701,1.2959586,0.009143506
28.579698,0.195,0.0,1.201966,0.039441,1.2969226,0.0092853075
28.679698,0.195,0.0,1.204571,0.034915,1.2980193,0.009383977
28.779698,0.195,0.0,1.202803,0.034958,1.2989923,0.009422531
28.879698,0.195,0.0,1.190665,0.037441,1.2998513,0.009434912
28.979698,0.195,0.0,1.171605,0.041488,1.3003814,0.009394734
29.079698,0.195,0.0,1.184509,0.040904,1.3007908,0.009334683
29.179698,0.195,0.0,1.218788,0.037657,1.301238,0.009280777
29.279698,0.195,0.0,1.227882,0.039237,1.3017116,0.009233394
29.379698,0.165019,0.0,1.220202,0.039237,1.3021518,0.00918371
29.479698,0.145013,0.0,1.198706,0.040765,1.2976972,0.007864063
29.579698,0.105035,0.0,1.167992,0.039925,1.2844241,0.0051891636
29.679698,4.4e-05,0.0,1.112632,0.022359,1.2597741,0.001345122
29.779698,0.0,0.0,1.040845,0.024565,1.2139837,-0.004815953
29.879698,0.0,0.0,0.972092,0.014382,1.1526562,-0.009486336
29.979698,0.0,0.0,0.905358,0.027861,1.0951201,-0.010285875
30.079698,0.0,0.0,0.859143,0.02288,1.0501943,-0.009851564
30.179698,0.0,0.0,0.826632,0.021636,1.0158603,-0.010575898
30.279698,0.0,0.0,0.811093,0.019079,0.9912686,-0.011572066
30.379698,0.0,0.0,0.806884,0.013085,0.96842414,-0.012303629
30.479698,0.0,0.0,0.799415,0.008367,0.94518787,-0.012343213
30.579698,0.0,0.0,0.79113,0.006231,0.9231373,-0.011681092
30.679698,0.0,0.0,0.785375,0.003345,0.9043788,-0.010557731
30.779698,0.0,0.0,0.781305,0.004339,0.8907511,-0.008621537
30.879698,0.0,0.0,0.747398,0.004932,0.87812245,-0.0066190083
30.979698,0.0,0.0,0.693619,0.007764,0.8637669,-0.005147317
31.079698,0.0,0.0,0.652865,0.005611,0.8481782,-0.0041283085
31.179698,0.0,0.0,0.62081,0.005738,0.83272475,-0.0031800591
31.279698,0.0,0.0,0.613889,0.002932,0.81780267,-0.0021266588
31.379698,0.0,0.0,0.623721,0.002511,0.80302703,-0.0010992509
31.479698,0.0,0.0,0.612284,-0.004027,0.78921264,-0.00022824644
31.579698,0.0,0.0,0.58667,0.000263,0.7764839,0.0004767719
31.679698,0.0,0.0,0.580095,0.000412,0.76522446,0.0010998892
