row_index,time_s,throttle_norm,rudder_norm,measured_speed_mps,measured_yaw_rate_rps,one_step_speed_mps,one_step_yaw_rate_rps,recursive_speed_mps,recursive_yaw_rate_rps
0,0.07969799637794495,0.0,0.0,0.07936999946832657,-0.03548299893736839,nan,nan,nan,nan
1,0.17969800531864166,0.0,0.0,0.09148799628019333,-0.03680599853396416,nan,nan,nan,nan
2,0.2796980142593384,0.0,0.0,0.09845300018787384,-0.02443300001323223,nan,nan,nan,nan
3,0.3796980082988739,0.0,0.0,0.10198500007390976,-0.019613999873399734,nan,nan,nan,nan
4,0.4796980023384094,0.0,0.0,0.09467499703168869,-0.03126399964094162,nan,nan,nan,nan
5,0.5796980261802673,0.0,0.0,0.08464299887418747,-0.03482799977064133,nan,nan,nan,nan
6,0.6796979904174805,0.0,0.0,0.0742650032043457,-0.02155900001525879,nan,nan,nan,nan
7,0.7796980142593384,0.0,0.0,0.06365399807691574,-0.01281300000846386,nan,nan,nan,nan
8,0.8796979784965515,0.0,0.0,0.0653970018029213,-0.02296300046145916,nan,nan,nan,nan
9,0.9796980023384094,0.0,0.0,0.07539000362157822,-0.02976899966597557,nan,nan,nan,nan
10,1.0796979665756226,0.0,0.0,0.08145999908447266,-0.01385900005698204,nan,nan,nan,nan
11,1.1796979904174805,0.0,0.0,0.08490200340747833,-0.0020469999872148037,nan,nan,nan,nan
12,1.2796980142593384,0.0,0.0,0.07983899861574173,-0.014124000445008278,nan,nan,nan,nan
13,1.3796980381011963,0.0,0.0,0.06910700350999832,-0.022468000650405884,nan,nan,nan,nan
14,1.4796979427337646,0.0,0.0,0.06997200101613998,-0.011864000000059605,nan,nan,nan,nan
15,1.5796979665756226,0.0,0.0,0.07856599986553192,-0.005818000063300133,nan,nan,nan,nan
16,1.6796979904174805,0.0,0.0,0.08581200242042542,-0.01232600025832653,nan,nan,nan,nan
17,1.7796980142593384,0.0,0.0,0.09215699881315231,-0.015852000564336777,nan,nan,nan,nan
18,1.8796980381011963,0.0,0.0,0.09892799705266953,-0.013561000116169453,nan,nan,nan,nan
